"ym","mdl","variable","value"
2016-07-01,"lead","V16",1884443.22806072
2016-08-01,"lead","V16",2113535.71749121
2016-09-01,"lead","V16",2328475.85871453
2016-10-01,"lead","V16",2584121.07050504
2016-11-01,"lead","V16",2906093.00407446
2016-12-01,"lead","V16",3235191.78073977
2017-01-01,"lead","V16",3496958.80056792
2017-02-01,"lead","V16",3771609.61289389
2017-03-01,"lead","V16",4091016.45542902
2017-04-01,"lead","V16",4402287.88233475
2017-05-01,"lead","V16",4777550.31741415
2017-06-01,"lead","V16",5164514.85043182
2017-07-01,"lead","V16",5590171.52011468
2017-08-01,"lead","V16",6067304.38380125
2017-09-01,"lead","V16",6548517.51347027
2017-10-01,"lead","V16",7101211.2619883
2017-11-01,"lead","V16",7716941.49124624
2017-12-01,"lead","V16",8340761.99517171
2018-01-01,"lead","V16",8625706.16970237
2018-02-01,"lead","V16",8829190.51595402
2018-03-01,"lead","V16",9102186.75959284
2018-04-01,"lead","V16",9366681.99615964
2018-05-01,"lead","V16",9646444.5018902
2018-06-01,"lead","V16",9889373.15335242
2018-07-01,"lead","V16",10227713.9693136
2018-08-01,"lead","V16",10481285.4326999
2018-09-01,"lead","V16",10734251.9560732
2018-10-01,"lead","V16",11043469.2261915
2018-11-01,"lead","V16",11387959.8003869
2018-12-01,"lead","V16",11754925.7584605
2016-01-01,"lead","V17",987840
2016-02-01,"lead","V17",1111625.21754208
2016-03-01,"lead","V17",1246966.08869774
2016-04-01,"lead","V17",1386483.91375787
2016-05-01,"lead","V17",1544972.13933725
2016-06-01,"lead","V17",1725079.43720788
2016-07-01,"lead","V17",1917543.98790082
2016-08-01,"lead","V17",2140233.46146605
2016-09-01,"lead","V17",2387961.6053078
2016-10-01,"lead","V17",2649896.73926181
2016-11-01,"lead","V17",2944396.60004367
2016-12-01,"lead","V17",3264452.20488668
2017-01-01,"lead","V17",3546704.8184121
2017-02-01,"lead","V17",3870894.96448772
2017-03-01,"lead","V17",4192893.80058632
2017-04-01,"lead","V17",4566353.09031041
2017-05-01,"lead","V17",4955132.23798689
2017-06-01,"lead","V17",5363674.28986179
2017-07-01,"lead","V17",5822269.81215146
2017-08-01,"lead","V17",6320902.67042443
2017-09-01,"lead","V17",6878005.97586647
2017-10-01,"lead","V17",7493312.32252304
2017-11-01,"lead","V17",8028791.1418327
2017-12-01,"lead","V17",8653548.01694749
2018-01-01,"lead","V17",8898974.60790481
2018-02-01,"lead","V17",9141879.35085906
2018-03-01,"lead","V17",9374680.68282442
2018-04-01,"lead","V17",9622905.3033731
2018-05-01,"lead","V17",9854964.20761754
2018-06-01,"lead","V17",10163270.003925
2018-07-01,"lead","V17",10501557.846985
2018-08-01,"lead","V17",10812818.4184522
2018-09-01,"lead","V17",11047315.0409633
2018-10-01,"lead","V17",11409882.096604
2018-11-01,"lead","V17",11655190.2356508
2018-12-01,"lead","V17",12091627.1314352
2016-01-01,"lead","V18",987840
2016-02-01,"lead","V18",1095732.55974089
2016-03-01,"lead","V18",1217457.26766019
2016-04-01,"lead","V18",1355922.32422471
2016-05-01,"lead","V18",1510593.69941144
2016-06-01,"lead","V18",1690167.49042941
2016-07-01,"lead","V18",1899147.57570718
2016-08-01,"lead","V18",2112013.63288081
2016-09-01,"lead","V18",2346732.60140468
2016-10-01,"lead","V18",2624821.83016129
2016-11-01,"lead","V18",2930610.7020667
2016-12-01,"lead","V18",3251452.08890994
2017-01-01,"lead","V18",3524373.73616627
2017-02-01,"lead","V18",3796036.07635207
2017-03-01,"lead","V18",4110117.05903675
2017-04-01,"lead","V18",4430331.43169474
2017-05-01,"lead","V18",4779625.17747041
2017-06-01,"lead","V18",5160243.4347835
2017-07-01,"lead","V18",5563687.83174343
2017-08-01,"lead","V18",5973494.68209292
2017-09-01,"lead","V18",6445314.64287625
2017-10-01,"lead","V18",6996384.12298117
2017-11-01,"lead","V18",7524913.15286405
2017-12-01,"lead","V18",8145092.22932073
2018-01-01,"lead","V18",8389859.37102377
